dx,dy,mode
-444.8,-355.8,1
-460.8,-311.5,1
-475.9,-290.8,1
-408.7,-291.9,1
-272.0,-282.4,1
-75.8,-251.6,1
110.7,-144.0,1
178.7,-12.1,1
119.1,102.5,1
-33.0,170.3,1
-251.3,195.3,1
-430.8,146.3,1
-459.2,89.3,1
-321.5,62.0,1
-82.3,22.2,1
177.6,19.4,1
263.1,202.1,1
267.0,190.7,1
266.9,190.8,1
267.1,190.5,1
266.5,190.2,1
266.9,190.4,1
266.4,190.0,1
266.6,190.0,1
267.0,190.4,1
267.2,190.5,1
267.1,190.4,1
266.9,190.1,1
267.2,190.7,1
265.2,184.5,1
265.7,186.2,1
265.7,182.4,0
264.2,182.9,0
265.2,181.0,0
265.0,179.0,0
265.8,183.6,0
265.7,183.0,0
265.4,183.8,0
269.3,178.7,0
