dx,dy,mode
-800.1,201.6,0
-800.1,201.5,0
-799.9,201.6,0
-799.7,202.0,0
-799.8,202.0,0
-799.9,202.2,0
-799.9,202.2,0
0.0,0.0,0
0.0,0.0,0
0.0,0.0,0
0.0,0.0,0
0.0,0.0,0
0.0,0.0,0
0.0,0.0,0
722.4,232.2,0
722.5,230.1,0
721.9,232.7,0
723.5,230.2,0
-221.5,266.7,0
-239.1,262.4,0
-223.7,269.4,0
-239.1,262.1,0
-222.5,266.7,0
-222.5,266.8,0
-222.5,266.8,0
-221.8,270.0,0
-238.5,263.4,0
-238.0,263.7,0
-240.4,265.3,0
-240.5,265.3,0
-236.5,262.6,0
-234.7,263.0,0
-232.9,263.9,0
-233.7,265.4,0
-231.0,265.0,0
714.1,240.7,0
715.6,238.4,0
714.5,239.5,0
714.9,238.5,0
714.9,239.5,0
714.4,239.7,0
714.7,239.1,0
712.9,241.9,0
714.4,241.1,0
714.4,241.2,0
714.4,241.2,0
714.3,241.3,0
714.4,241.2,0
714.4,241.2,0
714.4,241.2,0
714.4,241.2,0
714.4,241.3,0
714.4,241.2,0
714.4,241.2,0
714.4,241.3,0
714.4,241.2,0
714.4,241.2,0
714.3,241.3,0
714.4,241.2,0
714.4,241.2,0
714.4,241.2,0
714.4,241.3,0
714.4,241.2,0
714.4,241.2,0
714.4,241.3,0
714.4,241.2,0
714.4,241.2,0
714.3,241.3,0
714.4,241.2,0
714.4,241.2,0
714.3,241.3,0
714.3,241.3,0
714.3,241.3,0
714.3,241.3,0
714.5,237.5,0
714.3,241.3,0
714.3,241.3,0
714.3,241.3,0
714.3,241.3,0
714.4,241.2,0
714.4,241.2,0
714.3,241.3,0
714.4,241.2,0
-229.0,272.6,0
-228.9,272.8,0
-228.9,272.9,0
-228.8,272.9,0
-228.8,272.9,0
-228.9,272.9,0
-228.9,272.9,0
-229.0,272.8,0
-229.0,272.7,0
-229.0,272.7,0
-229.0,272.7,0
-229.0,272.7,0
-229.0,272.7,0
-228.9,272.8,0
-229.1,272.7,0
-229.0,272.7,0
0.0,0.0,0
0.0,0.0,0
0.0,0.0,0
0.0,0.0,0
0.0,0.0,0
0.0,0.0,1
0.0,0.0,1
0.0,0.0,1
0.0,0.0,1
0.0,0.0,1
0.0,0.0,1
0.0,0.0,1
0.0,0.0,1
0.0,0.0,1
-765.3,277.6,1
-770.1,282.0,1
-761.7,293.3,1
-767.8,285.1,1
0.0,0.0,1
0.0,0.0,1
0.0,0.0,1
0.0,0.0,1
0.0,0.0,1
-54.7,243.9,1
-55.0,242.5,1
-54.7,243.2,1
-54.8,242.1,1
-54.8,242.0,1
-54.8,242.1,1
-54.7,241.9,1
-54.5,242.2,1
-55.0,241.2,1
-54.7,242.1,1
-54.9,241.2,1
-54.9,241.3,1
-54.8,241.3,1
-54.8,241.3,1
-54.6,241.6,1
-55.1,240.9,1
-54.9,241.4,1
-54.8,241.6,1
-54.6,242.1,1
-55.0,241.4,1
-54.7,242.4,1
-54.8,242.0,1
-54.8,242.6,1
-54.7,243.5,1
-54.7,244.1,1
-54.5,244.8,1
-54.8,244.5,1
-39.4,275.0,1
-41.3,238.1,1
-41.3,238.1,1
-23.9,277.1,1
-23.9,277.2,1
-39.4,275.1,1
-39.3,275.1,1
-39.3,275.1,1
-39.4,275.1,1
-39.5,275.0,1
-39.4,275.0,1
-39.4,275.1,1
-39.3,275.1,1
-24.0,277.1,1
-23.9,277.1,1
-24.0,277.1,1
-24.0,277.1,1
-54.6,244.4,1
-54.8,243.3,1
-54.7,242.8,1
-54.7,242.8,1
-54.7,242.5,1
-54.6,242.4,1
-55.0,241.5,1
-54.8,242.4,1
-54.9,241.6,1
-54.8,241.6,1
-55.1,241.1,1
-54.7,242.1,1
-54.8,241.3,1
-54.9,241.2,1
-54.8,241.3,1
-54.8,241.3,1
-54.6,241.6,1
-55.0,240.9,1
-54.7,242.1,1
-54.8,241.6,1
-54.8,241.8,1
-54.8,242.2,1
-54.7,242.2,1
-54.6,243.0,1
-55.0,242.9,1
-54.6,244.5,1
-54.7,244.3,1
-54.6,244.7,1
-54.5,245.3,1
-54.5,245.8,1
-54.5,245.5,1
-54.7,245.1,1
-54.5,245.8,1
-54.5,245.7,1
-54.3,246.0,1
-54.4,245.8,1
-54.3,246.2,1
-54.5,245.5,1
-54.7,245.2,1
-54.4,246.0,1
-54.5,245.1,1
-54.6,245.2,1
-54.5,245.0,1
-54.6,244.8,1
-54.5,244.8,1
-54.9,243.7,1
-54.6,244.3,1
-54.6,243.4,1
-55.0,242.2,1
-54.7,242.8,1
-54.8,242.0,1
-54.8,241.7,0
-54.8,241.9,0
-54.8,241.9,0
-54.6,242.2,0
-54.8,241.6,0
-54.8,241.4,0
-54.6,241.6,0
-54.8,241.3,0
-54.8,241.3,0
-28.2,279.1,0
-54.7,241.6,0
-54.7,241.8,0
-54.6,242.3,0
-55.1,241.4,0
-54.7,242.5,0
-54.6,243.2,0
-55.0,243.3,0
-54.5,244.9,0
-54.6,244.4,0
-54.8,244.6,0
-54.4,246.1,0
-54.5,245.5,0
-54.5,245.5,0
-54.5,245.7,0
-54.5,245.8,0
-54.5,245.5,0
-54.5,245.7,0
-54.5,245.8,0
-54.3,246.0,0
-54.7,245.1,0
-54.4,246.0,0
-54.6,245.0,0
-54.6,245.0,0
-54.5,245.0,0
-54.6,244.7,0
-54.6,243.9,0
-54.7,243.8,0
-54.7,243.4,0
-54.8,242.5,0
-54.8,242.2,0
-54.7,242.0,0
-54.6,242.3,0
-55.0,241.4,0
-54.7,242.4,0
-54.6,241.9,0
-55.1,241.1,0
-54.7,242.0,0
-54.8,241.1,0
-54.8,241.0,0
-54.8,241.2,0
-54.8,241.3,0
-54.9,241.3,0
-54.8,241.8,0
-54.8,241.9,0
-54.6,242.2,0
-55.0,241.6,0
-54.7,243.0,0
-54.8,242.8,0
-54.9,243.4,0
-54.5,244.9,0
-54.6,244.3,0
-54.5,244.6,0
-54.4,245.0,0
-54.8,244.9,0
-54.5,245.0,0
-54.8,245.7,0
-55.0,244.9,0
-54.9,244.9,0
-54.9,245.3,0
-54.9,245.2,0
-54.8,245.4,0
-55.1,244.6,0
-54.8,245.5,0
-28.3,278.7,0
-28.3,278.7,0
-28.4,278.7,0
-28.3,278.8,0
-28.3,278.8,0
-28.3,278.8,0
-28.3,278.8,0
-28.2,278.9,0
-28.4,278.9,0
-28.3,279.0,0
-28.3,279.0,0
-28.4,279.0,0
-28.3,279.0,0
-28.3,279.0,0
-28.3,279.0,0
-28.2,279.0,0
-28.3,279.0,0
-28.2,279.0,0
-28.2,279.1,0
-28.3,279.0,0
-28.2,279.1,0
-28.4,279.0,0
-28.3,279.0,0
-28.3,279.0,0
-28.3,279.0,0
-28.2,279.0,0
-28.3,278.9,0
-28.3,278.8,0
-28.4,278.8,0
-28.3,278.7,0
-28.3,278.7,0
-28.3,278.7,0
-28.2,278.7,0
-28.3,278.7,0
-28.2,278.6,0
-28.2,278.7,0
-28.2,278.6,0
-28.2,278.6,0
-28.2,278.7,0
-28.2,278.6,0
-28.2,278.7,0
-28.3,278.7,0
-28.2,278.7,0
-28.3,278.7,0
-28.3,278.7,0
-28.3,278.7,0
-28.3,278.8,0
-28.3,278.8,0
-28.4,278.8,0
-28.3,278.9,0
-28.3,279.0,0
-28.4,279.0,0
-28.3,279.0,0
-28.3,279.0,0
-28.2,279.0,0
-28.3,279.0,0
-28.2,279.0,0
-28.2,279.0,0
-28.4,279.1,0
-28.2,279.1,0
-28.2,279.1,0
-28.3,279.1,0
-28.3,279.0,0
-28.3,279.0,0
-28.3,279.0,0
-28.3,279.0,0
-28.3,279.0,0
-28.2,279.0,0
-28.4,278.9,0
-28.3,278.9,0
-28.3,278.8,0
-28.3,278.7,0
-28.3,278.7,0
-28.3,278.7,0
-28.2,278.7,0
-28.2,278.7,0
-28.2,278.6,0
-28.2,278.7,0
-28.3,278.7,0
-28.2,278.7,0
-28.3,278.7,0
-28.3,278.7,0
-28.2,278.7,0
-28.3,278.7,0
-28.2,278.6,0
-28.2,278.7,0
-28.2,278.7,0
-28.3,278.7,0
-28.4,278.7,0
-28.3,278.7,0
-28.3,278.8,0
-28.3,278.8,0
-28.3,278.9,0
-28.3,278.9,0
-28.3,279.0,0
-28.2,279.0,0
-28.3,279.0,0
-28.3,279.0,0
-28.3,279.0,0
-28.3,279.0,0
-28.3,279.0,0
-28.2,279.0,0
-28.3,279.0,0
-28.2,279.1,0
-28.2,279.1,0
-28.3,279.0,0
-28.2,279.0,0
-28.2,279.0,0
-28.3,279.0,0
-28.3,279.0,0
-28.3,279.0,0
-28.3,278.9,0
-28.3,278.9,0
-28.3,278.8,0
-28.3,278.8,0
-28.4,278.7,0
-28.3,278.7,0
-28.3,278.7,0
-28.2,278.6,0
-28.2,278.7,0
-28.3,278.7,0
-28.2,278.6,0
-28.2,278.7,0
-28.2,278.6,0
-28.2,278.6,0
-28.2,278.7,0
-28.2,278.7,0
-28.2,278.7,0
-28.3,278.7,0
-28.3,278.7,0
-28.3,278.8,0
-28.4,278.7,0
-28.3,278.8,0
-28.3,278.8,0
-28.4,278.9,0
-28.3,278.9,0
-28.3,279.0,0
-28.3,279.0,0
-28.2,279.0,0
-28.3,279.0,0
-28.3,279.0,0
-28.2,279.0,0
-28.3,279.0,0
-28.3,279.0,0
-28.2,279.0,0
-28.3,279.1,0
-28.2,279.1,0
-28.2,279.0,0
-28.2,279.1,0
-28.3,279.1,0
-28.2,279.0,0
-28.2,279.0,0
-28.3,279.0,0
-28.3,279.0,0
-28.3,279.0,0
-28.3,278.9,0
-28.3,278.9,0
-28.3,278.8,0
-28.3,278.8,0
-28.4,278.8,0
-28.3,278.7,0
-28.2,278.7,0
-28.2,278.7,0
-28.3,278.7,0
-28.2,278.7,0
-28.3,278.7,0
-28.2,278.6,0
-28.2,278.7,0
-28.2,278.6,0
-28.2,278.7,0
-28.2,278.6,0
-28.2,278.7,0
-28.2,278.6,0
-28.2,278.7,0
-28.3,278.7,0
-28.3,278.7,0
-28.3,278.7,0
-28.3,278.7,0
-28.3,278.7,0
-28.3,278.8,0
-28.4,278.8,0
-28.3,278.8,0
-28.3,278.9,0
-28.2,278.9,0
-28.3,279.0,0
-28.4,279.0,0
-28.3,279.0,0
-28.3,279.0,0
-28.3,279.0,0
-28.4,279.0,0
-28.3,279.0,0
-28.3,279.0,0
-28.2,279.0,0
-28.2,279.1,0
-28.2,279.1,0
-28.2,279.1,0
-28.4,279.0,0
-28.3,279.0,0
-28.3,279.0,0
-28.2,279.0,0
-28.3,279.0,0
-28.3,279.0,0
-28.2,278.9,0
-28.3,278.9,0
-28.3,278.9,0
-28.3,278.8,0
-28.3,278.7,0
-28.3,278.7,0
-28.2,278.7,0
-28.2,278.6,0
-28.2,278.7,0
-28.3,278.7,0
-28.2,278.7,0
-28.3,278.7,0
-28.2,278.6,0
-28.2,278.7,0
