               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  72,            0.017157,           0.0042339,                   0,             0.93375,             0.80609,             0.89002,              0.4553,            0.036001,            0.012602,                   0,            0.002971,            0.002971,            0.002971
                  73,             0.01663,           0.0040867,                   0,             0.94235,             0.71199,             0.83066,              0.4211,            0.037398,            0.015218,                   0,            0.002872,            0.002872,            0.002872
                  74,            0.016963,           0.0041044,                   0,             0.93781,             0.78253,             0.87874,             0.43482,            0.036869,            0.013866,                   0,            0.002773,            0.002773,            0.002773
                  75,            0.016811,           0.0040129,                   0,             0.91152,             0.72976,             0.82948,             0.40283,            0.039967,            0.014644,                   0,            0.002674,            0.002674,            0.002674
                  76,            0.016528,           0.0040125,                   0,             0.93718,             0.77803,              0.8829,             0.45116,            0.036922,            0.013814,                   0,            0.002575,            0.002575,            0.002575
                  77,              0.0167,           0.0040937,                   0,             0.93508,             0.79651,             0.89344,             0.45429,              0.0359,            0.013108,                   0,            0.002476,            0.002476,            0.002476
                  78,            0.016431,           0.0040896,                   0,             0.93442,             0.82037,             0.88871,             0.43847,            0.035476,            0.012079,                   0,            0.002377,            0.002377,            0.002377
                  79,            0.016183,            0.003927,                   0,             0.92273,             0.75758,             0.85231,             0.42422,            0.038153,             0.01378,                   0,            0.002278,            0.002278,            0.002278
                  80,             0.01586,           0.0039024,                   0,             0.92591,             0.77637,             0.86524,             0.41695,            0.038672,            0.013694,                   0,            0.002179,            0.002179,            0.002179
                  81,            0.016304,           0.0040118,                   0,             0.93188,             0.77045,              0.8674,             0.42734,            0.037638,            0.013463,                   0,             0.00208,             0.00208,             0.00208
                  82,            0.015818,           0.0039062,                   0,             0.93188,             0.71512,             0.82072,             0.41445,            0.038798,            0.014767,                   0,            0.001981,            0.001981,            0.001981
                  83,            0.015578,           0.0038264,                   0,             0.92494,             0.69242,             0.81088,             0.41132,            0.039149,            0.015712,                   0,            0.001882,            0.001882,            0.001882
                  84,            0.016031,           0.0039894,                   0,             0.92654,             0.70707,              0.8158,             0.40877,             0.03858,            0.015049,                   0,            0.001783,            0.001783,            0.001783
                  85,             0.01584,           0.0039271,                   0,             0.92718,             0.77647,              0.8569,             0.42504,            0.036878,            0.013298,                   0,            0.001684,            0.001684,            0.001684
                  86,            0.015234,            0.003802,                   0,             0.92577,             0.78826,             0.86459,             0.43972,            0.036107,            0.012828,                   0,            0.001585,            0.001585,            0.001585
                  87,            0.015051,           0.0038768,                   0,             0.92464,              0.7761,             0.86342,             0.44209,             0.03629,            0.013486,                   0,            0.001486,            0.001486,            0.001486
                  88,            0.015007,           0.0037562,                   0,             0.92027,             0.76894,             0.86015,             0.42959,            0.037845,             0.01418,                   0,            0.001387,            0.001387,            0.001387
                  89,            0.014796,           0.0037721,                   0,             0.91562,             0.78504,             0.87762,             0.44277,            0.036728,            0.013161,                   0,            0.001288,            0.001288,            0.001288
                  90,            0.014492,           0.0037704,                   0,              0.9131,             0.78012,             0.87468,             0.42898,            0.037139,            0.013083,                   0,            0.001189,            0.001189,            0.001189
                  91,            0.014407,           0.0036567,                   0,             0.90847,             0.76667,             0.86852,             0.43669,            0.037115,            0.013494,                   0,             0.00109,             0.00109,             0.00109
                  92,            0.014124,           0.0036197,                   0,             0.90429,             0.77992,             0.86991,             0.43632,             0.03693,            0.013101,                   0,            0.000991,            0.000991,            0.000991
                  93,            0.013925,           0.0035814,                   0,             0.90249,             0.80984,             0.88501,             0.43666,            0.036289,            0.012294,                   0,            0.000892,            0.000892,            0.000892
                  94,            0.013801,           0.0036097,                   0,             0.89485,             0.80265,             0.87806,             0.42119,            0.036964,            0.012317,                   0,            0.000793,            0.000793,            0.000793
                  95,            0.013794,           0.0035736,                   0,             0.89891,             0.79811,             0.88117,              0.4267,            0.036748,            0.012343,                   0,            0.000694,            0.000694,            0.000694
                  96,            0.013238,           0.0035492,                   0,             0.91056,             0.80341,             0.88842,             0.43118,            0.036672,            0.012388,                   0,            0.000595,            0.000595,            0.000595
                  97,            0.013265,           0.0035567,                   0,             0.91665,             0.82895,             0.90086,             0.43512,            0.036277,            0.011902,                   0,            0.000496,            0.000496,            0.000496
                  98,            0.013076,           0.0035063,                   0,             0.91999,              0.8375,              0.9034,             0.43747,            0.036183,              0.0119,                   0,            0.000397,            0.000397,            0.000397
                  99,            0.013047,           0.0034248,                   0,             0.91736,             0.84097,             0.90309,             0.43151,            0.036467,            0.011851,                   0,            0.000298,            0.000298,            0.000298
